route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
11,73,386871,Terminus de la Traverse / Hôtel-Dieu de Lévis / Lauzon / UQAR,,0,21,63367_1426785_1426878,1
11,73,386872,Terminus de la Traverse / Hôtel-Dieu de Lévis / Lauzon / UQAR,,0,21,63367_1426785_1426878,1
11,73,386873,Terminus de la Traverse / Hôtel-Dieu de Lévis / Lauzon / UQAR,,0,21,63367_1426785_1426878,1
L2,73,386874,Sainte-Foy centre,,0,21,63196_1409683_1409740,1
L3,73,386875,Terminus Lagueux via Station de la Concorde (hors-pointe/soir/fin de sem.),,1,21,63203_1425446_1425506,1
L2,73,386878,Sainte-Foy centre,,0,22,63196_1409683_1409740,1
L3,73,386879,Terminus Lagueux via Station de la Concorde (hors-pointe/soir/fin de sem.),,1,22,63203_1425446_1425506,1
L3,73,386880,Sainte-Foy centre via Station de la Concorde (hors-pointe/soir/fin de sem.),,0,22,63202_1424833_1424888,1
L2,73,386881,Terminus de la Traverse,,1,22,63197_1425679_1425741,1
38,73,386884,Saint-Jean-Chrysostome via Vanier / Station Taniata,,0,23,62298_1413616_1413664,2
37,73,386885,Saint-Jean-Chrysostome via Taniata / Station Taniata,,1,23,62292_1413554_1413601,2
38,73,386886,Saint-Jean-Chrysostome via Vanier / Station Taniata,,0,23,62298_1413616_1413664,2
37,73,386887,Saint-Jean-Chrysostome via Taniata / Station Taniata,,1,23,62292_1413554_1413601,2
38,73,386888,Saint-Jean-Chrysostome via Vanier / Station Taniata,,0,23,62298_1413616_1413664,2
11A,73,386891,Terminus de la Traverse / UQAR / Lauzon / Hôtel-Dieu de Lévis,,1,24,63360_1424033_1424127,1
L2,73,386892,Sainte-Foy centre,,0,24,63196_1409683_1409740,1
L3,73,386893,Terminus Lagueux via Station de la Concorde (hors-pointe/soir/fin de sem.),,1,24,63203_1425446_1425506,1
L3,73,386894,Sainte-Foy centre via Station de la Concorde (hors-pointe/soir/fin de sem.),,0,24,63202_1424833_1424888,1
L2,73,386895,Terminus de la Traverse,,1,24,63197_1425679_1425741,1
L2,73,386896,Sainte-Foy centre,,0,24,63196_1409683_1409740,1
L2,73,386897,Terminus de la Traverse,,1,24,63197_1425679_1425741,1
L2,73,386900,Sainte-Foy centre,,0,25,63196_1409683_1409740,1
L3,73,386901,Terminus Lagueux via Station de la Concorde (hors-pointe/soir/fin de sem.),,1,25,63203_1425446_1425506,1
L3,73,386902,Sainte-Foy centre via Station de la Concorde (hors-pointe/soir/fin de sem.),,0,25,63202_1424833_1424888,1
L2,73,386903,Terminus de la Traverse,,1,25,63197_1425679_1425741,1
L2,73,386904,Sainte-Foy centre,,0,25,63196_1409683_1409740,1
L2,73,386905,Terminus de la Traverse,,1,25,63197_1425679_1425741,1
11A,73,386908,Terminus de la Traverse / UQAR / Lauzon / Hôtel-Dieu de Lévis,,1,26,63360_1424033_1424127,1
L2,73,386909,Sainte-Foy centre,,0,26,63196_1409683_1409740,1
L3,73,386910,Terminus Lagueux via Station de la Concorde (hors-pointe/soir/fin de sem.),,1,26,63203_1425446_1425506,1
L2,73,386913,Sainte-Foy centre,,0,27,63196_1409683_1409740,1
L3,73,386914,Terminus Lagueux via Station de la Concorde (hors-pointe/soir/fin de sem.),,1,27,63203_1425446_1425506,1
L3,73,386915,Station de la Concorde,,0,27,63202_1424833_1424878,1
11A,73,386918,Terminus de la Traverse / UQAR / Lauzon / Hôtel-Dieu de Lévis,,1,28,63360_1424033_1424127,1
11A,73,386919,Terminus de la Traverse / UQAR / Lauzon / Hôtel-Dieu de Lévis,,1,28,63360_1424033_1424127,1
36,73,386921,Charny via du C.-Hospitalier / Station de la Concorde,,0,28,62289_1421398_1421432,2
35,73,386922,Charny via de l'Eau-Vive / Station de la Concorde,,1,28,62284_1421362_1421397,2
37,73,386925,Saint-Jean-Chrysostome via Taniata / Station Taniata,,1,29,62292_1413554_1413601,2
38,73,386926,Saint-Jean-Chrysostome via Vanier / Station Taniata,,0,29,62298_1413616_1413664,2
37,73,386927,Saint-Jean-Chrysostome via Taniata / Station Taniata,,1,29,62292_1413554_1413601,2
38,73,386928,Saint-Jean-Chrysostome via Vanier / Station Taniata,,0,29,62298_1413616_1413664,2
37,73,386929,Saint-Jean-Chrysostome via Taniata / Station Taniata,,1,29,62292_1413554_1413601,2
38,73,386930,Saint-Jean-Chrysostome via Vanier / Station Taniata,,0,29,62298_1413616_1413664,2
L2,73,386933,Sainte-Foy centre,,0,30,63196_1409683_1409740,1
L3,73,386934,Terminus Lagueux via Station de la Concorde (hors-pointe/soir/fin de sem.),,1,30,63203_1425446_1425506,1
L3,73,386935,Station de la Concorde,,0,30,63202_1424833_1424878,1
L3,73,386936,Terminus Lagueux via Station de la Concorde (hors-pointe/soir/fin de sem.),,1,30,63203_1425461_1425506,1
L3,73,386937,Station de la Concorde,,0,30,63202_1424833_1424878,1
L3,73,386938,Terminus Lagueux via Station de la Concorde (hors-pointe/soir/fin de sem.),,1,30,63203_1425461_1425506,1
11,73,386941,Terminus de la Traverse / Hôtel-Dieu de Lévis / Lauzon / UQAR,,0,31,63367_1426785_1426878,1
L2,73,386942,Sainte-Foy centre,,0,31,63196_1409683_1409740,1
L2,73,386943,Terminus de la Traverse,,1,31,63197_1425679_1425741,1
L2,73,386946,Sainte-Foy centre,,0,32,63196_1409683_1409740,1
L2,73,386947,Terminus de la Traverse,,1,32,63197_1425679_1425741,1
23,72,386950,Station de la Concorde,,0,231,62279_1412882_1412948,2
23,72,386951,Saint-Nicolas - Village (arrêts limités),,1,231,62282_1411123_1411152,2
23,72,386952,Station de la Concorde,,0,231,62279_1412882_1412948,2
23,72,386953,Saint-Nicolas - Village (arrêts limités),,1,231,62282_1411123_1411152,2
23,72,386954,Station de la Concorde,,0,231,62279_1412882_1412948,2
23,72,386955,Saint-Nicolas - Village (arrêts limités),,1,231,62282_1411123_1411152,2
23,72,386956,Station de la Concorde,,0,231,62279_1412882_1412948,2
23,72,386957,Saint-Nicolas - Village (arrêts limités),,1,231,62282_1411123_1411152,2
23,72,386958,Station de la Concorde,,0,231,62279_1412882_1412948,2
23,72,386959,Saint-Nicolas - Village (arrêts limités),,1,231,62282_1411123_1411152,2
23,72,386960,Station de la Concorde,,0,231,62279_1412882_1412948,2
23,72,386961,Saint-Nicolas - Village,,1,231,62280_1411059_1411115,2
23,72,386964,Station de la Concorde,,0,232,62279_1412882_1412948,2
23,72,386965,Saint-Nicolas - Village,,1,232,62280_1411059_1411115,2
23,72,386966,Station de la Concorde (arrêts limités),,0,232,62281_1412949_1412990,2
23,72,386967,Saint-Nicolas - Village,,1,232,62280_1411059_1411115,2
23,72,386968,Station de la Concorde (arrêts limités),,0,232,62281_1412949_1412990,2
23,72,386969,Saint-Nicolas - Village,,1,232,62280_1411059_1411115,2
23,72,386970,Station de la Concorde (arrêts limités),,0,232,62281_1412949_1412990,2
23,72,386971,Saint-Nicolas - Village,,1,232,62280_1411059_1411115,2
23,72,386972,Station de la Concorde (arrêts limités),,0,232,62281_1412949_1412990,2
23,72,386973,Saint-Nicolas - Village,,1,232,62280_1411059_1411115,2
23,72,386974,Station de la Concorde (arrêts limités),,0,232,62281_1412949_1412990,2
23,72,386975,Saint-Nicolas - Village,,1,232,62280_1411059_1411115,2
23,73,386978,Station de la Concorde,,0,231,62279_1412882_1412948,2
23,73,386979,Saint-Nicolas - Village (arrêts limités),,1,231,62282_1411123_1411152,2
23,73,386980,Station de la Concorde,,0,231,62279_1412882_1412948,2
23,73,386981,Saint-Nicolas - Village (arrêts limités),,1,231,62282_1411123_1411152,2
23,73,386982,Station de la Concorde,,0,231,62279_1412882_1412948,2
23,73,386983,Saint-Nicolas - Village (arrêts limités),,1,231,62282_1411123_1411152,2
23,73,386984,Station de la Concorde,,0,231,62279_1412882_1412948,2
23,73,386985,Saint-Nicolas - Village (arrêts limités),,1,231,62282_1411123_1411152,2
23,73,386986,Station de la Concorde,,0,231,62279_1412882_1412948,2
23,73,386987,Saint-Nicolas - Village,,1,231,62280_1411059_1411115,2
23,73,386990,Station de la Concorde,,0,232,62279_1412882_1412948,2
23,73,386991,Saint-Nicolas - Village,,1,232,62280_1411059_1411115,2
23,73,386992,Station de la Concorde (arrêts limités),,0,232,62281_1412949_1412990,2
23,73,386993,Saint-Nicolas - Village,,1,232,62280_1411059_1411115,2
23,73,386994,Station de la Concorde (arrêts limités),,0,232,62281_1412949_1412990,2
23,73,386995,Saint-Nicolas - Village,,1,232,62280_1411059_1411115,2
23,73,386996,Station de la Concorde (arrêts limités),,0,232,62281_1412949_1412990,2
